block	model	mirror	angle	time	response	time2	diff	type
main9	Modell5A	originalZ135	12	671665.7	2	671838.3	172.6	rm_incorrect
main9	Modell15B	originalY45	3	672365.6	2	675831.1	3465.5	rm_hit
main9	Modell15A	originalZ180	16	676365	2	678886.2	2521.2	rm_incorrect
main9	Modell2A	mirroredY135	13	679414.5	2	690986.1	11571.6	rm_hit
main9	Modell7B	originalZ225	20	691512.7	2	693124.9	1612.2	rm_hit
main9	Modell11A	mirroredZ45	6	693662.4	2	707455.3	13792.9	rm_hit

questionaire1	q1	7
questionaire1	q2	8
questionaire2	q1	9
questionaire2	q2	0
questionaire3	q1	8
questionaire3	q2	9
questionaire1	q1	7
questionaire1	q2	7
questionaire2	q1	8
questionaire2	q2	6
questionaire3	q1	7
questionaire3	q2	5
questionaire4	q1	6
questionaire4	q2	5
questionaire5	q1	7
questionaire5	q2	6
questionaire6	q1	7
questionaire6	q2	6
questionaire7	q1	5
questionaire7	q2	7
questionaire8	q1	7
questionaire8	q2	1
questionaire9	q1	7
questionaire9	q2	10

