block	model	mirror	angle	time	response	time2	diff	type
main	Modell3A	originalZ45	4	1334320.3	1	1336233.1	1912.8	rm_hit
main	Modell13A	originalZ270	24	1336753.3	1	1338189.3	1436	rm_hit
main	Modell1A	mirroredY135	13	1338719.7	2	1343803	5083.3	rm_hit
main	Modell12A	mirroredZ135	14	1344335.5	2	1346992.2	2656.7	rm_hit
main	Modell6A	mirroredY270	25	1347518.4	2	1349305	1786.6	rm_hit
main	Modell3B	originalY225	19	1349834.7	2	1353135.5	3300.8	rm_hit
main	Modell12B	originalZ90	8	1353667.5	2	1355733.2	2065.7	rm_hit
main	Modell15A	originalZ90	8	1356267.1	1	1359359.9	3092.8	rm_hit
main	Modell14B	originalZ270	24	1359883.2	2	1363323.7	3440.5	rm_hit
main	Modell3A	originalZ225	20	1363849.3	1	1368316	4466.7	rm_hit
main	Modell8A	originalZ90	8	1368848.6	1	1372167.3	3318.7	rm_hit
main	Modell9B	originalZ90	8	1372698	2	1375498.9	2800.9	rm_hit
main	Modell10A	originalZ135	12	1376030.9	1	1379788.6	3757.7	rm_hit
main	Modell9B	originalY180	15	1380313.6	2	1383273.4	2959.8	rm_hit
main	Modell2A	originalZ315	28	1383796.4	1	1386136.4	2340	rm_hit
main	Modell1A	mirroredZ135	14	1386662.6	2	1389967.7	3305.1	rm_hit
main	Modell1B	originalZ315	28	1390495.4	2	1392424.2	1928.8	rm_hit
main	Modell9A	originalZ135	12	1392945	1	1396355.8	3410.8	rm_hit
main	Modell11B	mirroredY315	29	1396877.8	1	1399086.3	2208.5	rm_hit
main	Modell8A	originalZ315	28	1399610.7	1	1402031.2	2420.5	rm_hit
main	Modell12B	mirroredY270	25	1402560.3	1	1405444.7	2884.4	rm_hit
main	Modell13A	originalY45	3	1405976.4	1	1408032.7	2056.3	rm_hit
main	Modell8B	mirroredZ180	18	1408559.4	1	1411181.4	2622	rm_hit
main	Modell7A	originalY0	1	1411708.9	1	1412833.2	1124.3	rm_hit
main	Modell3B	originalY90	7	1413358.7	2	1415369.9	2011.2	rm_hit
main	Modell10B	originalZ90	8	1415891.7	2	1418446	2554.3	rm_hit
main	Modell8B	mirroredY225	21	1418974.5	1	1421614.6	2640.1	rm_hit
main	Modell15A	mirroredZ180	18	1422140.7	2	1424467.5	2326.8	rm_hit
main	Modell2A	originalY225	19	1424990.3	1	1426617.3	1627	rm_hit
main	Modell9B	originalY315	27	1427140	2	1428471.6	1331.6	rm_hit
